,year_state,state,year,enrollment,total_expenditure
1087,2013_HAWAII,HAWAII,2013,184760,2345917
1088,2013_IDAHO,IDAHO,2013,272070,1967676
1089,2013_ILLINOIS,ILLINOIS,2013,2069823,29517831
1090,2013_INDIANA,INDIANA,2013,1002772,11211155
1091,2013_IOWA,IOWA,2013,499489,6318241
1092,2013_KANSAS,KANSAS,2013,488590,5621023
1093,2013_KENTUCKY,KENTUCKY,2013,685009,7413896
1094,2013_LOUISIANA,LOUISIANA,2013,671156,7940880
1095,2013_MAINE,MAINE,2013,184682,2535405
1096,2013_MARYLAND,MARYLAND,2013,859252,13284637
1097,2013_MASSACHUSETTS,MASSACHUSETTS,2013,920968,16201905
1098,2013_MICHIGAN,MICHIGAN,2013,1381167,17468264
1099,2013_MINNESOTA,MINNESOTA,2013,802454,10942019
1100,2013_MISSISSIPPI,MISSISSIPPI,2013,492847,4370050
1101,2013_MISSOURI,MISSOURI,2013,897224,10001763
1102,2013_MONTANA,MONTANA,2013,142797,1679521
1103,2013_NEBRASKA,NEBRASKA,2013,303242,3913038
1104,2013_NEVADA,NEVADA,2013,431776,4057443
1105,2013_NEW HAMPSHIRE,NEW HAMPSHIRE,2013,187703,2878534
1106,2013_NEW JERSEY,NEW JERSEY,2013,1338657,28179900
1107,2013_NEW MEXICO,NEW MEXICO,2013,327209,3536546
1108,2013_NEW YORK,NEW YORK,2013,2629805,60505950
1109,2013_NORTH CAROLINA,NORTH CAROLINA,2013,1468228,13650536
1110,2013_NORTH DAKOTA,NORTH DAKOTA,2013,101025,1516575
1111,2013_OHIO,OHIO,2013,1613718,22015797
1112,2013_OKLAHOMA,OKLAHOMA,2013,671445,5796945
1113,2013_OREGON,OREGON,2013,564006,6228197
1114,2013_PENNSYLVANIA,PENNSYLVANIA,2013,1623694,28495118
1115,2013_RHODE ISLAND,RHODE ISLAND,2013,136401,2231413
1116,2013_SOUTH CAROLINA,SOUTH CAROLINA,2013,722249,8224795
1117,2013_SOUTH DAKOTA,SOUTH DAKOTA,2013,130296,1332496
1118,2013_TENNESSEE,TENNESSEE,2013,992461,9248235
1119,2013_TEXAS,TEXAS,2013,4897523,50674724
1120,2013_UTAH,UTAH,2013,562315,4584624
1121,2013_VERMONT,VERMONT,2013,89200,1809138
1122,2013_VIRGINIA,VIRGINIA,2013,1264880,15634918
1123,2013_WASHINGTON,WASHINGTON,2013,1050901,12097549
1124,2013_WEST VIRGINIA,WEST VIRGINIA,2013,282310,3488877
1125,2013_WISCONSIN,WISCONSIN,2013,863737,10845059
1126,2013_WYOMING,WYOMING,2013,91533,1675477
1127,2014_ALABAMA,ALABAMA,2014,740081,7587737
1128,2014_ALASKA,ALASKA,2014,130539,2727056
1129,2014_ARIZONA,ARIZONA,2014,943937,8109460
1130,2014_ARKANSAS,ARKANSAS,2014,479881,5242672
1131,2014_CALIFORNIA,CALIFORNIA,2014,6224685,72506810
1132,2014_COLORADO,COLORADO,2014,865231,9286626
1133,2014_CONNECTICUT,CONNECTICUT,2014,511082,10201500
1134,2014_DELAWARE,DELAWARE,2014,120623,1988535
1136,2014_FLORIDA,FLORIDA,2014,2708022,26523658
1137,2014_GEORGIA,GEORGIA,2014,1699185,17668352
1138,2014_HAWAII,HAWAII,2014,186825,2504144
1139,2014_IDAHO,IDAHO,2014,281452,2012852
1140,2014_ILLINOIS,ILLINOIS,2014,2060632,31080869
1141,2014_INDIANA,INDIANA,2014,1007121,11136045
1142,2014_IOWA,IOWA,2014,501763,6541553
1143,2014_KANSAS,KANSAS,2014,496034,5957954
1144,2014_KENTUCKY,KENTUCKY,2014,686789,7346219
1145,2014_LOUISIANA,LOUISIANA,2014,665441,8140649
1146,2014_MAINE,MAINE,2014,178709,2550302
1147,2014_MARYLAND,MARYLAND,2014,865768,13712839
1148,2014_MASSACHUSETTS,MASSACHUSETTS,2014,920558,16518383
1149,2014_MICHIGAN,MICHIGAN,2014,1363533,17358365
1150,2014_MINNESOTA,MINNESOTA,2014,804580,11300786
1151,2014_MISSISSIPPI,MISSISSIPPI,2014,492421,4463078
1152,2014_MISSOURI,MISSOURI,2014,892992,10324249
1153,2014_MONTANA,MONTANA,2014,144034,1754324
1154,2014_NEBRASKA,NEBRASKA,2014,307398,4008633
1155,2014_NEVADA,NEVADA,2014,435765,4043820
1156,2014_NEW HAMPSHIRE,NEW HAMPSHIRE,2014,184846,2960615
1157,2014_NEW JERSEY,NEW JERSEY,2014,1335350,27742203
1158,2014_NEW MEXICO,NEW MEXICO,2014,326637,3576216
1159,2014_NEW YORK,NEW YORK,2014,2619312,62556193
1160,2014_NORTH CAROLINA,NORTH CAROLINA,2014,1441391,13540706
1161,2014_NORTH DAKOTA,NORTH DAKOTA,2014,103272,1597210
1162,2014_OHIO,OHIO,2014,1601566,21847582
1163,2014_OKLAHOMA,OKLAHOMA,2014,670069,6026661
1164,2014_OREGON,OREGON,2014,566538,6453635
1165,2014_PENNSYLVANIA,PENNSYLVANIA,2014,1605292,28620630
1166,2014_RHODE ISLAND,RHODE ISLAND,2014,135084,2258076
1167,2014_SOUTH CAROLINA,SOUTH CAROLINA,2014,729386,8452743
1168,2014_SOUTH DAKOTA,SOUTH DAKOTA,2014,130653,1355439
1169,2014_TENNESSEE,TENNESSEE,2014,992583,9432883
1170,2014_TEXAS,TEXAS,2014,4949469,53096761
1171,2014_UTAH,UTAH,2014,570423,4385896
